kepid,probability,tier
6372268,0.6474017,Medium
9872292,0.6459154,Medium
9304976,0.6459049,Medium
5802637,0.6442313,Medium
8349399,0.6426268,Medium
9452897,0.6403209,Medium
4945764,0.6371328,Medium
10352333,0.63595665,Medium
8493354,0.6353216,Medium
6116172,0.6352848,Medium
4750669,0.63312715,Medium
11600299,0.6327413,Medium
10647452,0.6313556,Medium
9345933,0.62974334,Medium
2852941,0.6254445,Medium
10140274,0.6237425,Medium
6697976,0.62234294,Medium
7499398,0.6223202,Medium
12204137,0.62195647,Medium
4466677,0.6208857,Medium
8007174,0.6181917,Medium
7918478,0.61721176,Medium
9456281,0.61473966,Medium
10287723,0.6135388,Medium
6346894,0.61315066,Medium
11773328,0.61116457,Medium
10586619,0.6105519,Medium
7106173,0.61003345,Medium
10904004,0.6098572,Medium
7811397,0.60313344,Medium
10191449,0.60311556,Medium
9967009,0.5986928,Medium
3340165,0.59746337,Medium
10917433,0.59731776,Medium
11601633,0.5969075,Medium
10815677,0.5965854,Medium
4844470,0.5957362,Medium
10027861,0.59120727,Medium
10907132,0.5909898,Medium
6034834,0.5896335,Medium
6307083,0.5885355,Medium
2985587,0.58749235,Medium
4638237,0.5856061,Medium
9017682,0.58560085,Medium
10794974,0.5834544,Medium
9008103,0.58216715,Medium
6765135,0.5820315,Medium
8494783,0.57697845,Medium
11251991,0.57553476,Medium
10658177,0.5745296,Medium
4914221,0.57433724,Medium
11019739,0.56361777,Medium
10319834,0.56150055,Medium
3962440,0.560886,Medium
11145391,0.5564551,Medium
9282853,0.5553414,Medium
7098255,0.55162805,Medium
4935172,0.55159694,Medium
5651846,0.55140847,Medium
8096395,0.5498918,Medium
7191646,0.53879726,Medium
6517064,0.5354519,Medium
4346339,0.53393495,Medium
8176564,0.53226113,Medium
11021676,0.5311675,Medium
2853446,0.53059244,Medium
12506986,0.5280333,Medium
4912650,0.5263052,Medium
4450844,0.52042776,Medium
9509343,0.52039725,Medium
6527078,0.51992893,Medium
7272132,0.5194789,Medium
11407847,0.51604843,Medium
4263529,0.50747716,Medium
11081504,0.50679076,Medium
9147012,0.5065327,Medium
11853130,0.5062613,Medium
4548098,0.5056106,Medium
8812045,0.5051961,Medium
2158460,0.50454193,Medium
